texts,labels
ግድ የለም ሰከን ብለን እንየው ካባረርንማ ካለፉት በምን ተሻልን የድርድር ብቻ ነው ዘመኑ መደራደር መደራደር መደራደር ... ብቻ,positive
ተምሮ: ተመክሮ ካልገባው :እንዲህ መሸኘት ነው ችግር እና መከራ አስኪያስተምረው።,negative
አፋችሁን ሞልታችን ሰላም እያላችሁ ነበር አይይይይይይ አበሻ,positive
ውሸታም...በጥራቃ!!!!!,negative
አመፅ አመፅ እያሉ እድሜያቸውን ይፍጁ ሚጎዱት እራሳቸው ናቸው,negative
ኦነግ ከፍተኛ አመራሮቼ ታሰሩብኝ አለ በአቶ ዳውድ ኢብሳ የሚመራው ኦነግ ስድስት ከፍተኛ አመራሮቹ በመንግሥት የደህንነት ኃይሎች መያዛቸው አረጋግጦ የኢትዮጵያ በኣባላቱ ላይ የሚያካሄደውን ዛቻና እስራት በኣስቸኳይ እንዲያቆምለት ጠየቀ፡፡ ኦነግ ታስረውብኛል ያላቸው ከፍተኛ አመራሮቹ መካከል ኣንዱ የሆኑት የኦነግ ስራ-ኣስፈጻሚ ኮሚቴ ኣባልና የፖለቲካ ዘርፍ ሃላፊዉ ኣቶ ጀቤሳ ገቢሳ፣ እንዲሁም ኣቶ ኣማን ፍሌ፣ ዶ/ር ቡሊ ኤጄታ፣ ደምቢ ተሾመ፣ ገልገሎ ዋርዮና እዶሳ ታደሰ ናቸው,negative
ማንም ከህግ በላይ መሆን አይችልም ።,positive
የኔማ ዳውድ ኢብሳ የሰው ኮሳሳ፡ቁርሱ ሳንቡሳ ሲተኛ እንደሬሳ፡ሲበላ ጨጨብሳ ወለጋ ላይ ፈሳ።,negative
ይህን መግለጫ የሰጠውስ ለምን አልታሰረም ባለመታሰራቸው መንግስትን እንጠይቃለን የዘገየ ቢሆንም ጥሩ ውሳኔ ነው,negative
እና ምን እናርግላቹ ትግስት ፍርሀት መስሏቹ ነበር አሁን ማላዘን ዋጋ የለውም,negative
አርዶ አብልቶ የተቀበላቸውን ህዝብ እያስገደሉ እንዴት አይታሰሩ,negative
እራሱ መሪው ዳውድ አርፎ ካልተቀመጠ ማጅራት ግንዱን ብለው ወደ ሸቤ ያሽቀነጥሩታል። ሰላም ለኢትዮጵያችን♥እና ሰላም ወዳድ ህዝቦቿ♥ ሁሉ።,negative
እንድያውም አቶ ዳውዱ ኢብሳ ባለ መታሰሩ ሰሞኑን ሰላማዊ ስልፍ እንወጣለን !!,negative
መለስ ዜናዊ ይህ እንደሚፈጠር ስላወቀ ነው ባላችሁበት ያላቸው። ጀማሪ ፖለቲከኛ ከመለስ ይበልጣል ሆነ ነገረ,positive
እንኳን ማሰር በቁማቸው ይቅበሯቸው,negative
ይህቺ ኣ እግሯ ለምን እንዳጠረ ኣልገባኝም።,negative
ታዲያ ምን ይደረግ #በጣም ቀበጥክ እኮ ኦነግሻ ,negative
ዳውድ ኢብሳ የሄ ቂቤ ቀቡኝ እስከመቼ ነው🙄,positive
ኣ ላይ ችግር አለ😜 ልብ ብላችሁ እዩትና ታዘቡኝ! ሁልጊዜ ነገረኛ ዜና ላይ የ"አ" አንድ እግሯ አጭር ናት።😂😂😂😂(ቀልድ አይደለም እዩዋትና ታዘቡ!),negative
ቅድም ነበር እንጅ መጥኖ መደቆስ አሁን ምን ያደርጋል ወጭት ጥዶ ማልቀስ ይላል ያገሬ ሰው በል ቻለው ማነው ትጥቅ ፈች ማነው አሰፈች ስትል አልነበርአይ ወነግ በል ቻለው ብዙ ነገር በአህያ አይጫንም!!!,negative
 እና ምን ይጠበስ,negative
 አምላኬ ሆይ ይቅር በለኝ።ዳውድ ኢብሳንና መሰሎቹን በቶሎ አንሳልን,negative
 ዳውዳ ኢብሳ ወደ ኤርትራ ይመለስልን :: ለማና ወርቅነህ ለምነው እንዳመጡት መልሰው ይውሰዱልን :: ውሃ ቀጠነ እያለ የሰው ደም ማፍሰስ ለእርሱ ደስታው ነው:: ድሮ ያልቻለውን መግደል አሁን በሰላም ገብቶ ንፁሃን ላይ እየተለማመደብን ነው:: እርሱ ያችን ሀገር ከረገጠ ወዲህ ሰላም የለም የሰይጣን መልክተኛ ነው የሆነብን:: በመጦሪያና በማረፊያው ሰአት ጭራሽ ንፁሃንን ,negative
ዳውድ ኢብሳ የተባለን አሸባሪ ሽማግሌ እራሱ መታሰር አለበት ሌላ ወሬ አንፈልግም,negative
2000 ባሞይሞላ ሰገጤ ጋጠወጥነት የ100 ሚሊዮን ህዝብ ሰላም መደፍረስ የለበትም።,negative
ቀጣይ ከቂልንጦ ነዉ ምትነግረን,negative
የሀገረችን ፀረ ሰለም ኦነግ ብቸ ሰይሆን ድሬ ቲዩፕ ሚበለው ድህረ ገፅ ጭምር ነው ንቁ ሰዎች,negative
እንዲያውም እድለኞች ናቸው በአብይ ዘመን ሰላማዊ እስር ነው ያለው የቀድሞውን እያሰቡ ሊደሳሰቱ ይገባል፡፡,positive
ዳዉድ ተከታዬ አንተነህ ወሬ ነጋሪ ይትረፋ ተብሎ እንጂ ያንተም ማረፌያ ተሰናድቷል ኦሮሞ ህዝብ አንቆሮተፋቶሀል ለስልጣን ብለህከቁስሉ ባልዳነዉ በወገኖችህላይ እጅህን አንስተሀል ይበቃል ታሪክ ልትሆን ትንሽ ቀርቶሀል ትሆናለህ,negative
አንተን ለምን እንዳስቀሩህ ይገርመኛል ህልመኛ,negative
እሱን ለምን አላሰሩትም?,negative
ራሱ ለምን አይታሠርም ገትጋታ,negative
ዋ  የእርሶን ያህል ዴሞክረሲን ለማምጣት የታገለ ... ግን ደግሞ የተፈተነ መሪ በእድሜዬ አላየሁም! እኔ ከተወለድኩ መለስ 8 አመት ኃ.ማርያም 6 አመት... እርስዎ ገና 6 ወር! ብቻ በፍቅር ተስፋ አደርጋለሁ!,positive
ይህ ሕዝብ መች ሰለጠነና ዲሞክራሲን ነፃነትን የሕግ የበላይነትን ለይቶ ለማወቅ አንደገና ኤውሮፓ ውሰጥ መወለድ አለባቸው,negative
ከ100 ሚለየን ሕዝብ ውሰጥ 1000 ብቻ ከሆነ የተማረው ለሐገርና ለሕዝብ መልካም እሚሰራው ቅን እሚያሰበው እማይሰርቀው ሕዝባችንም ዜጋችንም ካልተባበረን እንዴት ነው ሐገራችንን ማሰተካከል እንችላለንንን,positive
የኛ የኢትዮጵያ PM Doc Abiy Ahmed እንኳን በአፍሪካ ቀርቶ በዓለም ላይ ስምሕ በመልካም አርአያነትህ ተምሳሌት ሆንክልን አገራችንንም በመልካም አሰጠራህልን ኮራንብህ ኮራንብህ ኮራንብህ ተምሳሌትነትህን ቀጥልበት ገና ጀመርከው እንጅ አልጨረስከውም .,positive
ያንተ ታምር ድንቅ ሰራህ አያልቅም እንወድሐለን አናከብርሐለን ሽህ አመት ግዛ,strongPositive
ሐገሬ ኢትዮጵያ አንዴት አማረብሽሽሽሽሽ ,positive
አግዝሐቤር ይመሰገን አንዳሰከበርከን ፋጣሪ አብዝቶ ያክብርልን ይባርክልንንንንን,positive
እስኪ ነገ ደሞ ኑና ስብከትዎን አሰሙን መግደል መሸነፍ ነው የሚለውን (አዉግዘናል)የሚለውን ግዴለም ውግዘቱን ለቤተክርስትያን አባቶች ተውላቸውና እርሶ ቆፍጠን ወዳለው እርምጃ ሂዱ።,negative
የDr. Abiy መንግስት ሰላማዊ የ ሸገር ወጣቶችን ኣስፈትቶ በምትኩ ኣሸባሪዎችን ወደ ዝብጢያ ማውረድ ኣለበት ይህ ካልሆነ ግን የ dr. Abiy ንግግር ከ ፉከራ እና ሽለላ ተለይቶ ኣይታይም!!!,negative
ሁል ጊዜ ንግግር ባደረገ ጊዜ መልእክቱ አዲስ ግንዛቤ ያስጨብጣል፣ አመለካከት ይቀይራል፣ የአስተሳሰብ መንገድ (way of thinegativekinegativeg) እንድንቀይር ያስገድዳል የአዲስ ዓመት መልእክቱ ቁም ነገር ያለውና አስተማሪ ነው፡፡ መልካም አዲስ ዓመት ባለ ራዕይ መሪያችን፡፡,positive
አምላክ ሆይ ቲም ለማን ደመቀን አስነስተህ በምንሳሳለት መሪ ከ1983 ወደ 2011 ስላሸጋገርከን እናመሰግንሀለን! ,positive
መጪውን ዘመንም የሚታዩ አስነዋሪ ተግባሮች ተወግደው ድል ሀሴት ጤና መልካሙን ሁሉ የምናይበት ብሩህ ዘመን ይሁንልን! አሜን,positive
አብይዬ የኔ ፍቅር የኔ ኬክ... ምን የኔ ብቻ የኢትዮጵያ ልጆች ሁሉ ፍቅር መልካም አዲስ አመት! አምላኬ ከክፉ ሁሉ ይሸፍንህ... ,strongPositive
አሁን ከተቆረስከው በላይ አምላኬ ቆራርሶህ ለብዙዎች መፍትሄና መልስ ያድርግህ...,positive
ምክርህን እንቀበላለን ምሳሌነትህን እንከተላለን... ከወገቤ ተሰብሬ ነው ይህን የፃፍኩት ብታየውም ባታየውም ልቤ ወዶሀል አብይዬ! ያገሬ ህዝብ መልካም አዲስ አመት ብያለው!,positive
ጀግና መሪያችን ከቲም ለማ ከቲምገዱ ጋር በፍቅር በሠላም በጤና እንኳን አደረሣችሁ ደርሣችሁ መከራ የገፋዉን እንባችንን ሥለጠረጋችሁልን ፈጣሪ እድሜጤናችሁን ይሥጥልን,strongPositive
እጅግ የተከበርከው ውድ ጠቅላይ ምኒስትራችን ዶ/ር አብይ አህመድ እንኳን ለአዲሱ አመት ከነ ሙሉ ቤተሰቦችህ በሰላም አደረሰህ:: አዲሱ አመት የተቃና እንዲሁም የስኬት እንዲሆንልህ ፈጣሪ አምላክ ይርዳክ:: ፈጣሪ ጤና እና እድሜ አብዝቶ ይስጥህ,strongPositive
ለከቡር ጠ/ር ዶ/ር አብይ ከመላው ቤተሰቦና የኢትዮጵያ ሕዝብ እንኳን ለአዲሱ ዓመት በሰላም አደረሰዎት በማለት መጭው ዓመት የፍቅር፣የአንድነት፣የመተሳሰብና የመደጋገፍ የሥራ ዘመን እንዲሆንለውት ከልብ እመኛለሁ።,positive
ጠሚ/ዶ አብይ አህመድ ከባለቤትዎ እንዲሁም ከልጆችዎ ከቤተሰብዎ እንዲሁም ከስራ ባልደረቦችዎ ጋር እንኳን አደረሶት፤ለሀገራችን የሚያስቡት ስራ ሁሉ የሚከናወንሎት አመት እንዲሆንሎት እመኛለው መልካም በዐል።,positive
አብያችን እንኳን አደረሰህ የኛ ውድ!! መጭው ዓመት ጠላቶችህ በፍቅር ተደምረው ያሰብከው ተሳክቶ እፎይ ብለህ የምታርፍበት ዓመት እንዲሆን እመኝልሃለሁ! ! የኔ ጀግና አሁንም ያኔም አንደበተ ርቱኡ,strongPositive
እጅግ በጣም እናመሰግንሀለን አመት በአልን ከቤተሰቤ ጋር ሳትል ከኤርትራውያን ወገኖቻችን ጋር በማክበርህ በኢትዮጵያዊነቴ እጅግ ኩራት ተሰምቶኞል ረዥም እድሜ ከጤና ጋር ይሰጥህ አኩርተኸናል ኮርተንብሐል መልካም አመት ባል ለመላው የኢትዮጵያውያኖችና ኤርትራውያኖች,strongPositive
ኢትዮጰያ ሐገሬ የተማረ መሪ የተማሩ አሰተዳደሮች ሲኖሩሸ አንደ ፅጌሬዳ አበባ አንደ ወርቅ አምሮብሽ አኛ ልጆችሽ አንደ ሕፃን ተደሰትን አዲሱን አመት ለመበቀል በፍቅር በአንደነት ከያለንበት ተሰባሰበን በመሐከላችን ያሉትን ማንኛውንም ጥቃቅን ነገሮች ወደ ጎን በመተው እንቁጣጣሽ አንኳን ደህና መጣሽ በማለት ልንጨፍርለሽ ከሩቅም ከቅርብም መጥተንለሻልልልልል ደሰ ይበልሸ ,strongPositive
ደሰ ብሎናል ጀግኖች ልጆችሽ ለዚህ ሰላበቁን ፈጣሪ እራሱ አንደሰጠን አሱ እራሱ በደንብ አደርጎ ይጠብቅልንንንንን,positive
አብያችን የኛመልካም ላተም መልካም አድሥ አመት ያሠብከሑሉ የሚሣካበት ዘመን ይሑንልክ ያሠብካትን ኢትዮቢያን እዉን ሖና እራእይክ ተሣክቶ ለማየት እግዚአብሔር ያብቃክ በሔክበት ሑሉ እመብርሐን ድግልማርያም ትቅደምልክ ያባቶቻችን ፆሎት አይለይክ መልካም አድሥ አመት,positive
እኔ ደግሞ ደስተኛ አይደለውማ እንዴ እንዴት ደስተኛ ልሁን ሲቀጥል ሰው ደስተኛ ካልሆነ እንዴት ይኖራል አባቴ በጨለማ ቤት በራፍ ተዘግቶበት እየዋለ እያደረ በስተርጅና እንዴት አዲስ አስተሳሰብ እኔ ላመንጭ በኔ በወር ደምወዝ ተከፍሎኝ የምኖር ሰው አባቴን ለማስፈታት እንዴት ነው ጉቦ ከፍየ የማስፈተው እና እኔ አልደመርም ከናንተ ጋር ጥሩ ነበርክ አንተ እንደምር እና ዘመኑን በፍቅር በደስታ እንሻገር ላልካቸው ሰወች እነሱ በውስጣቸው ጥንብ አስተሳሰብ ይዘው እንዴት አብሬ ልደመር አልደመርም በቻልኩት መጠን ዲፊንስ አረጋለው,negative
ወይ ጉድ ኣንተ መነሻዉ የማያዉቅ መድረሻውን ኣያውቅም ?? you knegativeow that meanegative? ሽሬ ነበርኩ ነዉ ያልከዉ ከመከላከያችን ጋር ስለዚ ትንሽ ቀን ያስፈልገሃል ተመልሰህ ወደ ትግራይ ናና ህዝቡ ይነግረሃል። ነገሩ ኣዳሜ ኣሁንምላሳን መዝልጋ ምታጨበጭበው ያለፈ ታሪክ ብታዉቅ ኑሮ ለዚህ እድመልኩን የጠበቀ እንዲሁም የፈጠራት (ኣክሱም) ህዝብ ምን እደ ሚገባዉ ኣይጠፋህም ።ታሪኩን የሚያዉቅ ህዝብ ግን እየዉ ትግራዋይ ። (ብዕራይ ናብ ዘበለ የብል ዕርፍኻ ጨብጥ ),negative
እንኳን አደረስ ክቡር ጠ/ሚ ዶ፡ር ዐብይ ከመላው ቤተሰብህ ና ከኢትዮጵያ ህዝቦች ጋር ለ፪፻፲፩ዓ/ም። በእውነት ዘመኑ የፍቅር ኃያልነት ያየንበት ዘመን ነውና ይበል ብያለሁ/ብለናል።እናመሠግናለን!!!,positive
ይቅርታ ጠ /ዶ አብይ አህመድ ከርሶ በፊት እርሶወን የሠጠንን ጊታ ላመሠግን እወዳለሁ ሀያሉና ሁሉንአዋቂው አላህ ሡ አ ምሥጋናየን አቀርባለሁ ጠዶር አብይ የአሥተሣሠብ እሥቢሻሊሥት 27 አመት በላይ የታመመህዝ ያከመ እዲሁም የደነዘጪንቅላት ሀክሞ በአግባቡ እዲያሥብ ያደርገ ወጣት አንበሣመሪያቺንነው አላህ ይጠብቅ በሌላበኩል ፀረሠላም ሀይሏቺ ትናንትሢሠቃዩ እዳልነበር በዛሠረአት አሁን ከየት የመጣ ልብነው ህዝቡ በጣምነው ያዘነው የአዲሥ አበባውን ኦነግ እኮ የሁሉም እንግዳነው ሠላም እንደጉንፋን ለሚያሥላቸው ሀይሎቺ አንድ ቢሎአቸው እላለሁ መልካም አዲሥ አመት,positive
አሜን! መጭው ዘመን እንደአሠብኸው አንድ ሆነን ፍቅርና በአንድነት የምናድግበት : አንተንም እግዚያብሔር እንዲጠብቅህና በስልጣን ዘመንህ በሥራህ የምትደሰትበት እኛንም እየተናቆርን እንዳናስከፋህ እግዚአብሔር ይጠብቀን ።,positive
እነርሱም ለኢያሱ እንዲህ ብለው መለሱለት። ያዘዝኸንን ነገር ሁሉ እናደርጋለን ወደምትልከንም ስፍራ እንሄዳለን። 17፤ በሁሉም ለሙሴ እንደ ታዘዝን እንዲሁ ለአንተ ደግሞ እንታዘዛለን፤ ብቻ አምላክህ እግዚአብሔር ከሙሴ ጋር እንደ ነበረ ከአንተ ጋር ይሁን።,positive
ም.ም.ምን እላለሁ አንተን የሰጠን እግዚ/ር ይመስገን። የሰማይ አምላክ ለእምዬ ኢትዮ እንደሰብክላት በማያልቀዉ ፀጋዉና በረከቱ ያስብልህ..,positive
ምነው በጣም ውድ ሆንክብን አብይዬ,positive
33 የሞት መድሀኒት ይመስል 49 ሴኮንድ 24 ሴኮንድ ቪድወ የምትለቁልን በዛ በጣፋጭ አንደበቱ የሚናገርበትን ላይቭ አታሳዩንም? ተናፍቀሀል በድምፅ ና አንበሳችን,positive
ዶ/ር አብይዬ የሚወራው እውነት ነው? ጤንነትህ እንዴት ነው?ደህና ነህ? እባክህ ተራ ሠው ብሆንም መልስልኝ. ለማንኛውም አላህ ይጠብቅህ,positive
ህዝቡ ምን ያህል እንደሚሳሳልህ ማየት በራሱ ደስታን ይሰጣል!!  የላይ ሰፈር ሰዎች ምኞትና አሉባልታ እንጂ መሪያችን ሰላም ነው ተረጋጉ። እነሱ Live ቢያዩት ራሱ የቆየ ነው ማለታቸው አይቀርም! ህዝቡ ጠ/ሚ መሆንህን ረስቶ በየደቂቃው ካላየነው ሰላም አይደለም ማለት ነው ብሎ ይጨነቃል። ከዚ ሁሉ ለምን ማታ ማታ የEtv ዜና አንተ ራስህ አታነብልንም,positive
ዶክር ለሰከንድም ቢሆን መዘንጋት የሌለቦት ነገር ሙሉ የኢትዮጵያ ህዝብ በርሶ መመራት እጅግ እንደሚያስደስተዉ ነዉ።በምንም አይነት ሁኔታ ዉስጥም ቢሆን ክንዶ እንዳይዝልብን እንለምናለን። እኛ በቅርብ ጊዜ ምንም አይነት ምርጫ እንዲካሄድ አንፈልግም።በቃ እርሶ ይምሩን።አንዳንዶች ያቺን ግዜ ጠብቀዉ ችግር መፍጠርን ስለሚያስቡ ላልተወሰነ ጊዜ ይራዘም እባኮትን።,positive
ይቅርታ ተደርጎላቸው ሳይሆን ይቅርታ ተጠይቀው ይመለሳሉ የትምህርት ሚኒስትሩ ዶ/ር ጥላዬ ጌጤ መምህራንን በማወያየት ላይ ለሚገኙት ዶ/ር አብይ አህመድ በተለያዩ ተገቢ ያልሆኑ ምክንያቶች ከከፍተኛ ትምህርት ተቋማት ተሰናብተው የነበሩ መምህራን ይቅርታ ተደርጎላቸው ወደ ስራ ገበታቸው እንዲመለሱ ጥያቄ አቀረቡ.... ዶ/ር አብይም እንዲህ አሉ “ይቅርታ ተደርጎላቸው ሳይሆን ይቅርታ ተጠይቀው ይመለሳሉ” ሼር በማድረግ ለሁሉም ያሰሙ!!!!,positive
እጅግ ጠቃሚ ርዕሰ ጉዳዮች በመሆናቸው እጅግ ጠቃሚ ምክክር እንደሚሆን አምናለሁ፡፡ ግን ያለእረፍት ታላላቅ ጉዳይ ይዘው ተከታታይ መድረክ መፍጠርዎ እጅግ ታላቅነቶ እያስመሰከሩ ነውና ፈጣሪ ይረዳዎት ዘንድ እንመኛለን፡፡,strongPositive
ምርጥ ሰው ገና ታሪክ ትሰራለህ ሠውን ሰው በመሆኑ ብቻ የምታከብር ሚዛናዊ ትሁት ግብረ ገብ የራስህ የሆነ የወደፊት ራእይ ያለህ ምን ማለት እንዳለብኝ አላውቅም ትክክለኛው ሰው በትክክለኛው ቦታ የኔ ጠቅይ ሚኒስትር,positive
መምህራን የእዉቀት አባቶች ስለሆኑ ክብር ይገባቸዋል ዶክተር አብይ መምህሩ ጋር ዉይይት ማድረጋቸዉ ወቅቱ የሚፈልገዉ ጉዳይ ስለሆነ ጥሩ አድርገዋል ተመካክሮ መስራት ዉጤታማ ስለሚያደርግ ነዉ የምለዉ እኔ በበኩሌ ።,positive
ዩኒቨርሲቲዎቻችን አሁን ካላቸው የፖለቲካ ንትርክና የፖለቲካ ማመንጫ ቦታ ከሆኑ እድገቱ ሊሳካ አይችልም።እድገቱን የምያሳኩ አክላ ለመሆንና መሆን ስላለባቸው ዩኒቨርስቲዎቻችን የምርምር ተቋማት መሆን አለባቸው።አሁን ባላቸው አቋም አዳሪ ት/ቤት እንጂ የዩኒቨርሲቲ አቋም የላቸውም።ስለዚህ የምርምር ማዕከል እንዲሆኑ የምርምር ፓርኮች በየዩኒቨርሲቲዎቻችን ውስጥ መገንባት ይኖርባችኋል,negative
የትምህርትን ጥራት ለማምጣት የመምህራን ተሳትፎ ከፍተኛ ቢሆንም የመሀበረሰቡ ተሳትፎ ሊታከልበት ይገባል፡፡ በተጨማሪም በሀገራችን ወጥ የሆነ የትምህርት ፖሊሲ ሊዘረጋ ይገባል፡፡,positive
ፍትህ የአክሱም ሙስሊሞች እና በስልጤ ክልል የህወሃት ካድሬዎች ሙስሊሙ የፈጁት ነው ለምን በመቀጠል በጉራጌ ክልል እሊያስ ሽኩር የሚባለው የህወሃት ዱሪዬ ዘርማ እርምጃ ሳይወስድበት በፊት ዞር አድርጉት ዘርማ አብይን አክብሮ ነው እስካሁን ዝም ያለው,negative
ዶክር ለሰከንድም ቢሆን መዘንጋት የሌለቦት ነገር ሙሉ የኢትዮጵያ ህዝብ በርሶ መመራት እጅግ እንደሚያስደስተዉ ነዉ።በምንም አይነት ሁኔታ ዉስጥም ቢሆን ክንዶ እንዳይዝልብን እንለምናለን። ,strongPositive
እኛ በቅርብ ጊዜ ምንም አይነት ምርጫ እንዲካሄድ አንፈልግም።በቃ እርሶ ይምሩን።አንዳንዶች ያቺን ግዜ ጠብቀዉ ችግር መፍጠርን ስለሚያስቡ ላልተወሰነ ጊዜ ይራዘም እባኮትን እባኮትን እባኮትን።።።,positive
ዶ/ር ያደረጉት ነገር እጅግ በጣም ጥሩ ነው፡፡ በአሁኑ ጊዜ ብቁ መምህር እየጠፋ ነው፡፡ በምሳሌ እያስደገፉ ተማሪዎች ለምን መማር እንዳለባቸውና የተማሩትን ት/ት መቸ እና እንዴት እንደሚጠቀሙበት አስቦ ከማስተማር አንጻር ከፍተኛ የሆነ ድክመት አለ፡፡,negative
በገጠርና በየቀሌው ያለውን የትምሕርት ችግሮች፡ የታችኛውን የመምሕራን የኑሮ ደረጃ፡ የመኖሪያ ቤት ችግር ማን ያንሳው፡፡ለዶክተር ስ ማን ይንገራቸው? ሑልጊዜ ልቡን አንጠልጥሎ የሚጠብቀው ተስፋሕን ቁረጥ ተባለ ወይስ እየጮሕ ቀጥል ተባለ ኡፍ በቃኝ,negative
በዚ ስራህ አላህ ሙስሊም ያድርግህ ( ቀጥተኛውን መንገድ ይምራህ)... የኔ ትልቁ ምርቃት እና ስጦታ ለምወደው ሰው እሄ ነው ::,positive
ዶ/ር አብይ የኛ ትሁት መሪ እርሶን የምገልፅበት ቃል የለኝም በክርስቶስ በማርያም እራሶትን ጠብቁ ብዙ ክፉ ሰዎች እየተነሱ ነው የነሱ ምቀኝነት እና ክፉ ሀሳብ እንዳያናድዶት እነሱ ክፋታቸዉ ያጠፋቸዋል እርሶ ግን ለኛ ምን ማለት እንደሆኑ ልነግሮት አልችል የፈጣሪ ስጦታችን አባታችን ወንድማችን ኖት፡፡ ከክፉ ሰዎችና ከሀሳባቸው እግዚአብሄር ይጠብቅልን የኛ መሪ መኩሪያችን ልባችን ውስጥ ሁሌም ቦታ አሎት,positive
ብልሆች ዛሬያችንን ሁለት አስርት አመታትን ቀድመው ነገሩን።ነብይ አልነበሩም! ልበ ደንዳኖች ግን ባይናቸውም በጃቸውም የሚዳስሱትን እውነት ሊማሩበት አልፈቀዱም። መፍትሄዋን መብላት የለመደች ሀገር መድሀኒቷን አታውቅም። ፈርኦን ግብጽን ከርሀብ የታደጋትን ዮሴፍን አስሮት ነበር። በሰባት አመት ጥጋብ የሰባት አመት ችጋር ታለፈ። መፍትሄዎቿን በማሰር አቻ የማይገኝላት እልቆ መሳፍርት ፈርኦኖችን የተሸከመች ሀገር ዛሬ ላይ መድሀኒቷን ልታስር ነገር መጎንጎን ይዛለች!,positive
ዶር አብይ ... አንተም ተደስተህ ህዝቦችህም ተደስተው እንደማየት የሚያስደስት ነገር የለም፡፡ የስልጣን ዘመንህ የተሳካ እንድሆን የዘወትር ዱዓየና ምኞቴ ነው፡፡ ተደምረናል ከጎንህ ነን ሀቢቢ... አላህ መዓክ,positive
የሰራ ሰው ጤፍ አይደለም የፈለገውን ይመገባል !,positive
ማርጀትና መገርጀፍ እንደ ኢትዮጵያ ዲያስፖራ ከሆነ ማርጀት አልፈልግም።ሰው በሰለጠነ፣የሰውን መብት በሚያከብርና ልዩነትን እንደውበት በሚቆጥር ህብረተሰብ ውስጥ እየኖረ እንደ አለት ባለበት የቆመ አሳፋሪው የኢትዮጵያ ዲያስፖራ ብቻ ነው።ሰው እድሜው ይቅርና የሚኖርበት ህ/ብ አያስተምረውም እንዴ????በጥላቻ ተሞልቶ ማርጀት አለ እንዴ???አንድ ቀን አገሩን መጥቶ ሳያይ ሁሉን እያጣጣለ በውሬና ባሉባልታ ብቻ ይኖራል እንዴ????ለማንኛውም ዋሽንክተን ተቀምጠክ በሚሰጥክ ፍርፋሪ እንኳን ስለጤፍ ስለጦርነት ፃፍ።ጠመንጃ እስካላነሳክ ድረስ ተረትክን አውራ።ውሾች ይጮሀሉ ግመሉ በፀጥታ ይጓዛል።።,negative
እኛነን ሀያሎቹ የሀገር ቤቶቹ,positive
የጤፍ እጀራ ለመብላት ወደ አገርቤት ብቅ በል ባህር ማዶ ሆነህ መለፍለፍ አይደለም ለነገሩ እዴት አርገህ ወዳገርህ ትመጣለህ ወንጀለኛ አገር የለውም ያንተ ምኞት እድሜ ልክህን የቁም ቅዠት ይሆናል እጂ አይሳካም የስልጣን ጥማት በመለፍለፍ አይገኚም መጀመሪያ ስልጣን ከመመኘት መፊት የጨቀየውን እጂህን ታጠበው,negative
ዋው! በጣም የሚያምርና የገበሬውን ህይወት ባጭሩ የሚያስቃኝ ግጥም <3,positive
እውነት ደስ  የምል ...እንደ ዓሣ  በሥዕል  ብቻ የምናይበት ዘመን እንዳይሆን  ሁሉም በዬእምነቱ ይፀልይ...!!!,positive
አንቺ ደቃቃ እከስሻለው!  1ኛ፡በሀገር ክደት 2ኛ በማስተባበር እና በቀስቃሽነት (እነ ምስር ፣በርበሬ ፣ቤለቄ ፣ባቄላን...) እንዳውም 1ለ5 ቱ መሪ መሆንሽን ደርሰንበታል ።,negative
58 እኔ የሚያስቁኝ ካድሬዎች ናቸው ግን ሼም አይዛቹም ጤፍ ስንት እነደገባ አታቁም ወይስ በመንግስት ወጪ ነው የሚገዛላቹ ቂቂቂቂ  እንጀራ 6ብር ገባ እኮ የቀን ገቢ 30 መቼም በባዶ አይበላ ይሄ ገምት ካድሬን አይጨምርም እነሱ ለምደውታል ማስመሰሉን አይ እድገት ሰው እየተሰደደ አአአአአአአአአ,negative
ቆንጅዬ ግጥም ነው፤ባቄላ አተርና ጔያውም ተሰዶ በሱዳኖች 24 ሰዓት እየተቀቀለ ነው!!!,positive
ሀስቡነላህ ወኒያእመል ወኪል,positive
መሳሪያ ያልታጠቀ ምስኪን ህዝብ መደብደብ ጀግና ኣያስብልም  የእናት ጡት ነካሽ ሰው መሳይ አውሬዎች,strongNegative
አላህ ይጠብቃቹህ,positive
አላሁ አክበር,positive
አልሀም ድሊላ,positive
ኢንሻአላህ,positive
አላሁ አክበር ፍትህ ከዓላህ እንጂ ከወያኔ አንጠብቅም,negative
ለማንኛውም ቸር ያሰማን እንጂ የምፈራው ነገር ቢኖር ሙስሊሙን እንዳታዘናጋው ነው ምክንያቱም አሁን አሜሪካን እያደረገች ያለውን አካሄድ በጣም አደገኛ ይመስለኛል አሜሪካን በአሁን ሰአት በሙስሊሙ ህዘቦች ላይ ስሟን ማደስ ትፈልጋለች ይኼንን አካሄድ ደሞ በሰላማዊ መንገድ ለሙከራ ከተመረጡ ሀገርች ኢትየጵያ፡ኬንያ፡ሶማልያ ናቸው ገና ሌላ መልካም ነገር ይመጣል በፊለፊት በጀርባው ግን አደገኛ የሆነ ስለዚህ ሁሉንም ነገር ወደፊት የምናየው ይሆናል::,negative
